,Incident Description,Record Classification
3206,"NEW CAGE PUT UP TO PREVENT ARMS BEING PUT THROUGH FENCING HAS BOLTS PROTRUDING APPROX 1"" PLUS, POTENTIAL TO CAUSE INJURY.
ENG NOTIFICATION RAISED.",Level0
3207,Employee started feeling some abdominal pain and  immediately notified his supervisor  which then his supervisor notified HSE.. Employee was taken off site for further medical evaluation.,Level0
3208,"Safety/Health: (L0) Report Only Medical Event - Employee broken safety glasses scratched eye.
Employee was in his office taking safety glasses off when they broke in half at the bridge of the nose. The piece scratched his right eye. Caused watering and discomfort. Eye was flushed and no debris found. Safety looked at eye and nothing seen.",Level0
3209,"While doing start of shift checks, I went to the banbury level and saw the red walk behind lift with smoke coming from the battery. The hydraulic pump appeared to be stuck on. I turned the key off and removed the battery cables to disable the pump. Maintenance was notified and the lift was taken out of service until repaired.",Level0
3210,Caustic drip found coming from under insulation. Area was caution tapped off and we are attempting to catch the drip. Notification for repair has been entered.,Level0
3211,Contractor was observed walking in 5KV cable tray while doing a cable pull. Contractors own internal policy and site recommendation is not to walk on cable trays. Contractor maintain fall protection at all times. Contractors supervision was contacted and investigation is on-going.,Level0
3212,"While walking along concrete by loading rack, contractor trip on a piece of scaffolding material that had been stacked up but was sticking out in the walkway.",Level0
3214,"On 5-4-2017 a JVIC employee was exiting the elevator on the 5th floor of Furnace M when a gust of wind blew causing airborne particles to come in contact with his face. At the time of the incident, the employee wiped his eyes with his hands and didn't feel any airborne particles in his eyes. The employee proceeded to his work area. On 5-5-2017 the employee woke up with discomfort in his right eye. After the safety meeting, the employee reported the incident to JVIC Safety and JVIC Superintendent.
Calallen Minor Emergency removed foreign body by simple means. Employee RTW with no restrictions.",Level1
3215,"Contract electrician received a minor injury to his hand when he was removing a drill bit from a portable drill.  Employee removed his glove in order to get a better grip on the keyless chuck drill and received a minor irritation to his hand from the hot drill bit. Employee was taken to site medical, treated and released back to work.",Level1
3216,"Employee was observed standing up on pedals while riding a trike through the unit.

Procedure MTO HSE-9.07 Pedal Powered Vehicles states,
5.1.5. Operate the cycle from a sitting position.  Do not stand and ""pump"" the cycle.",Level0
3217,During rounds operator found a broken stud on the mounting bracket for the Gyro Bin.,Level0
3218,"While reinstalling a heat exchanger bundle (3E-421), a contractor was standing on top of the bundle pusher at a height of 6-7 feet above grade. The contractor was not wearing a harness and had no other means of fall protection.  The job did not have a scaffold or ladder involved. The job was stopped immediately and the site policy was reiterated with the contractor. The incident occurred during the Line 3 annual outage. No injuries occurred in this incident.",Level0
3219,"Unsafe condition & Improper fitting 
refer attached e-mail communication as on Tuesday, February 28, 2017 10:40 AM & Sun 4/30/2017 4:54 PM
Morning review visit by Mr. Rajesh Chawla sir with Mr. Ramesh Gandhi sir as on dtd. 25.02.2017 & note point below mention concern will be require to close.

Open hole on wall (fire pipe), 
Window Glass Broken , 
Roof improper fitting & rain leakages, 
Fire sensor not fit Properly",Level0
3220,"Boiler operator reported that while he was in the office he herd a loud noise in the bldg when he investigated he found broke plastic pieces on the floor by H121.
He looked up and saw that the cover for the light had falling",Level0
3221,"While observing work being performed, brushed against  paper on a grated platform that had a small (1/8"") nut on it. Nut fell though grating on platform, grating on deck and onto 2nd level of structure.  No one was hit by object.",Level0
3222,Operator was catching a routine sample of the GAA reactor solution when the rupture disc on the sample hoke failed. The sample was caught as usual except there was no pressure indication on the gauge for the sample hoke indicating the sample had started to flow.,Level1
3223,Contractor was working on top H-731A without proper fall protection.,Level0
3224,A contractor was observed operating a mobile man lift (JLG) between the Line 3 and Line 4 200 areas with the basket above 4 feet and no tie-off. The contractor stopped the lift and lowered it to the ground at which time he acknowledged that he was not tied off. The contractor advised that he realized he had not tied off when he went to unclip when the JLG stopped.,Level0
3225,"Details as below mention (mail reference 21st march 2017)
We have received below mention import consignment as on 19/03/2017 & unloaded same day.
 We would inform to you that it has been slightly damage unloading dock & area by container at the time of container parking for unloading activities.  No injuries.

See attached photos.
",Level0
3226,"Contractor was manual handling trays that had been removed from u4601 splitter column.  As he was handling the metal tray it cut through the leather riggers glove he was wearing and cut his finger, resulting in first aid treatment.",Level1
3227,"Employee was in the process of fitting stop plates on the South side of Furnace M when the he stopped to reposition himself. While the he was repositioning himself, his hard hat made contact with an existing tube causing debris to fall downward onto his face. Employee reported to his foreman and JVIC Safety that he felt discomfort in his right eye. Employee was transported to Calallen Minor Emergency for evaluation, treatment and removal of foreign body via simple means. Employee returned to work with no restrictions",Level1
3228,A 5 minute escape pack was inspected prior to issue and was noticed empty as work was on going,Level0
3229,"While getting out of a crew cab truck at the olefins maintenance shop for lunch a Brock employee in the front seat placed his left hand on the pillared between the two doors after exiting the cab. The passenger in the back seat of the truck shut their door pinching the other employees thumb.
A Safety Man with Brock and the employee involved with the incident came to the OP-2 control room to report what had occurred.  A LyondellBasell EMT evaluated and treated the left thumb of the Brock employee.
Brock Management then took the employee off site to their doctor for further evaluation.     
",Level0
3230,"Driver was spotted climbing down from top of truck with no fall protection.  Truck was parked outside MTO gate, but on company owned road.",Level0
3231,"Contractor working on CT-711 was repositioning their pickup truck to accommodate room for a Roll-off Dumpster.  The driver of the pickup started backing up their company vehicle and came in contact with the stop sign on the intersection of the Cooling Tower roadway and the North Gate.  The rear driver upper section of the bed was scraped, just above the tail light.  No damage to the Stop Sign or the driver.",Level0
3232,"TECH NOTICED DRIPPING AT 90 INTO RACK ON THE CONCENTRATOR OVHD PIPING TO THE  70# STEAM HEADER.
24"" LINE IS INSULATED. 
LEAK NOT IDENTIFIED AS OF YET.
ENVIRONMENTAL CHECK SENT TO ENGR FOR CALCS.",Level0
3233,"During site power outage certain emergency lighting in effected areas failed to operate .

Main reception
Middle office stairwell
Plant support near library
Finance / managers office area
Training room",Level0
3234,Two forklift hit each other at the RM Store. One forklift was unloading the lyb raw material pallets from container which is around 6feet high. The other forklift come from bulk weighing area to the store and as the opposite forklift driver was not able to see anything in front of him he hit the other forklift which was coming from the opposite direction resulting in damaging of RM bags. No one was injured. See attached picture.,Level0
3235,During the safety round it was observed that the checker plate of the trench on line D is getting rusted and can lead to someone getting injured. See attached picture.,Level0
3236,The scoop which is used at RM store is completely damaged. As its a metal scoop and can injure anyone using it. This kind of scoop should be replaced with plastic one where practically possible. See attached photo.,Level0
3237,During a routine inspection it was noticed that during the replacement of the main building roof the roof sky lights were not protected by using the agreed means. Responsible person informed straight away,Level0
3238,"Whilst on routine inspection, roof worker was found to not be wearing gloves and eye protection. responsible person informed and corrected straight away",Level0
3239,A forklift was unloading talc jumbo bags and was reversing and suddenly left side back wheel of the forklift came off. No one was injured as the forklift was moving very slowly. See attached pictures.,Level0
3240,"Whilst on  rack inspection in Dye shop,  - damage to left hand side, end upright recorded.  Damage categorised as 'Red'.

Bay fully de-loaded and taped off.

'All Locations Not in Use',  signs erected.
",Level0
3242,"Employee was gathering tools out of the bed of his truck, located by the fab shop, when he felt something sting the back left side of his neck. Employee did not see what stung him. Lyondell Operations were notified and went out to the area to look for a possible bee's nest. However, no nest found in the vicinity. Employee was transported to RTFC for evaluation and treatment with OTC sting relief and OTC ointment to the affected area",Level0
3243,"Contractor Observed lowering bricks from scaffold to ground using an open bucket, instead of using a positive closure bag.",Level0
3244,"Welder was welding  on a 8"" pipe. As he came to a stopping point he passed the welding rod from his left hand to his right hand to pull his hood off. In the process the hot welding rod punctured his glove and poked him right above his thumb.",Level1
3245,"Contractor crew brought in to support ELN shutdown was working on replacing HV3008. The new valve was installed and they were in the process of torqueing the flanges.  Crew had several wrenches and an 18"" alignment tool all tethered with tool lanyards to the associated piping.  While repositioning on the valve, one of the contractors inadvertently kicked the tethered alignment tool which was hanging by lanyard unused. The tool-to-lanyard connection ripped and the tool slipped thru the grating to the level below. There were no other workers in the vicinity and the tool rested at deck directly below the work (Height of fall was 12').",Level0
3246,Two of the mounting studs for the Gyrobin were found broken.,Level0
3247,"A small amount of possible asbestos containing material was discovered on the concrete at J101 in Olefins Heavy Ends.  The area was secured and Asbestos Contractor was notified to check Wednesday morning.  

Update: Testing of the material found reflected that it was NOT asbestos-containing material.",Level0
3248,"Driver from flexipol packaging delivering 4 pallets FFS sheet.
Asked when booking in if he had required safety equipment his response was yes.
Before he got out of cab he was again reminded about hard hat & glasses he gave the signal of thumbs up.
During a safety walk he was challenged about safety glasses his response was that he had none.
So a pair was provided.
",Level0
3249,"As a Caustic truck driver was hooking up a hose to the truck, he had to be reminded to maintain a three point contact at all times while working on the truck. Follow-up will be made to the carrier to ensure drivers know this requirement prior to arrival.",Level0
3250,"New shot blaster filter system bags plugged, causing  dust to escape the filter housing.",Level0
3251,Found gaitronics speaker housing from under 3RV-404 level had broken loose and fallen to the mezzanine deck below.,Level0
3252,Sampler slipped on wet stairs descending the tank following sampling of the tank.,Level1
3253,"While loading old conduit and lights into bed of pickup  that had been removed from the UCT area a piece of conduit hit bottom of the glass causing it to crack all over.
Information impact. No one was injured",Level0
3254,"A ""DUCT DET 2"" alarm occurred at approx. 19:00 Wednesday evening. When silenced and reset the alarm cleared.  The building was investigated and no cause was apparent. The alarm activated twice more within a 20 minute period, clearing each time. HTC Maint. and Supervision was consulted and Total Safety was called to troubleshoot a ""TROUBL IN SYSTEM ANN-PRI COMM FAULT"" alarm that stayed active. At 21:45 Total Safety arrived, investigated and cleared the COMM FAULT, returning the system to  NORMAL. Total Safety said they would re-check the system the next day.",Level0
3255,Turning corner with 2 boxes of finished goods.  Boxes tilted and fell over.  All but 248lbs saved,Level0
3256,Employee was unloading an 18 wheeler and made slight contact with warehouse overhead door.,Level0
3258,"While globing MP3 for start operator pulled on dumpster full of polymer operator felt discomfort in abdominal area.
Went to see nurse and returned to duty.",Level2
3259,"On company property but outside of the fence line, truck driver was spotted securing hatches on top of pellet trailer without any fall protection.",Level0
3260,During the reconnection of P3853A motor a BIS contractor noted that the duty label  text on the local isolator was indication P3851A.,Level0
3261,Safety/Health: (L0NM) Near Miss - Metal shaving struck employee on face shield and bounced to top of face shield. Metal shaving fell and landed on inside machinist on forehead. No injury or any pain. Employee reported incident to Austin safety. No treatment rendered.,Level0
3262,Contractor was sitting in a non-operating fork lift with a cell phone in his lap. Contractor was instructed that cell phone use is not allowed in the process areas.,Level0
3263,While working on E891 in POSM1 employee (rigger) attached a manila rope for a tag line on the bundle.  As the load was being lifted debris from the tag line blew into his eye. Employee when to safety shower  to flush his eye out then was seen by Austin?s safety and flushed the eye out again.  Employee returned to work with no restrictions.  He was wearing his safety glasses.,Level1
3264,Acuren Technician was in the process of probing the tubes on E7022 for RFT. He felt a burning sensation on his hands from residual liquid contact within the tubes. The Technician was wearing Kevlar gloves. the Exchanger had been hydro blasted and the tubes had been blown with utility air to remove any free water. The shift EMTs assisted the technician and had him flush his hands in a safety shower for 25 minutes. the burning stopped and there was no visual redness. Technician released to his lead man with any followup to be determined by his company contact,Level0
3265,"Employee was leaving the women's restroom when hinge cover fell from the top of the bathroom door nearly hitting the employee.  Upon further inspection, it appears as though the cover was not fastened properly.  Facilities was notified and replaced/repaired the cover.",Level0
3266,Employee received HBV shot on April 24th 2017. Started feeling discomfort in the arm the HBV shot was administered on April 30th 2017. Employee was taken to offsite occupational doctor on May 1st 2017 for evaluation. Employee had a delayed response to the shot and was released back to work full duty with no restrictions.,Level0
3267,Clearance Certificate (CC)  limits were set to allow grit blasting on V1710 skirt externals only. Limits were set to allow for any inspections that may have been required and to allow review of paint Safety Data Sheet (SDS) prior to coating. Site inspection late afternoon revealed surface had been painted.,Level0
3268,Employee was descending the 2nd level stairway on the north side of furnace M when they felt discomfort to left eye. Employee proceeded to tool room to notify their supervisor. The supervisor reported the incident to JVIC Safety. Employee was evaluated by JVIC Safety; a foreign body was removed via simple means and employee returned to work with no restrictions.,Level0
3269,"Operations found a 25# light fixture shattered and laying on the ground in Line 4 RX Bay during shutdown.  The light fell approximately 25' from the ground.
No one was injured and no equipment was damaged.  
Entered notification (15429106) to cap open wiring or replace fixture. Ops cleaned shattered glass.",Level0
3270,A pungent off-site odor was detectable within the Bayport Polymer Facility. Wind was out of the west-northwest with the strongest odors around the Catalloy warehouse and Bulk Plant areas. BYO Security contacted Celanese and was told that they did not have any releases. Careline and the LaPorte LEPC had not received any report of a chemical release by neighboring plants. Industrial Hygiene conducted fence line monitoring with no detectable VOCs. Odor was classified as a nuisance odor. Monitoring results was communicated to both Operations control rooms and maintenance.,Level0
3271,"During an excavation on the 24? storm water pipe at the corner of road 4 and Gilles Drive, a 2 inch pipe was found running inside the 24? storm water pipe. This pipe hasn't been found on any drawings. It appears that it could be an air pipe. The excavation has been stopped until a hydro vac truck can come on site to finish the excavation so repairs can be made.",Level0
3272,Contractor in the area of the Zachry shop noticed a burning smell. Went to investigate and noticed a fire under the refrigerator in the Zachry shop. Contractor immediately extinguished the fire with an fire extinguisher.,Level1
3273,"During the unit upset I/E personal was trying to restore power to several pieces of equipment. When requested to help get the Resid. up and running they went to Field panel 4. Water from fire monitor was being sprayed  at the EO Vent Absorber and the Resid. Absorber. Some of the water got onto both of the employees. Employees was told to get out of the FRC's, and boots and sent to nurse for check out. Employee's will purchase new boots.",Level0
3275,Contractor was securing the tarp on his truck without the required fall protection.  Contractor was notified of the site requirement and immediately stopped the unsafe action. Contractor was on company property but outside of the fence line.,Level0
3276,Contactor was sting in hand by a bee while trying to put his bee suit on to remove the bee's from the davit arm.,Level0
3277,Metal plate which is placed on the trench in the walk way of production shop floor was above the ground level and can cause for restriction of movements for forklifts and peoples. Please see attached pictures.,Level0
3278,while working in the minor add room making a blend I stepped on a broken pallet and a nail went  into the sole of my boot. It did not enter my foot. removed the pallet from the area no injury occurred.,Level0
3279,The welding machine earthing leg is completely damaged and need to be replaced. This can lead to serious incidents. See attached picture.,Level0
3280,Few manual call points of the RM store has been damaged and need repair. This should me immediately attended as this are life critical safety equipment's. See attached picture.,Level0
3281,"Operator came into control room and took off his hard hat and glasses.  Operator got a blue shop towel and started to wipe sweat off of his head and face.  At this point he suspects he got something into his right eye.  
  Operator used the eye wash station and first aid cabinet to thoroughly flush the effected eye.  
  It was treated with first aid and the operator finished out the shift. The next morning he complained that his eye was bothering him and requested to have it looked at. He was met at an urgent care facility where he was diagnosed with a corneal abrasion and give a prescription antibiotic for prevention of infection to the eye.",Level1
3282,Insufficient lighting around the plant area which is making it very difficult for taking night rounds as we are not able see anything. See attached pictures.,Level0
3283,Operator noticed a box of engage with a puncture hole in it and two other boxes stacked on top of that box. The box was taken to the box dump and transferred to a clean box.,Level0
3284,"While manually loading bags onto the conveyor, Operator reported feeling a pain in the chest.  Medical treatment was refused and operator continued working as scheduled.",Level0
3285,"Fire reported on Line 3, underneath the reactors. Operations immediately sounded the plant fire alarm and fire monitors and deluge system was activated. Fire was suppressed in under 5 minutes by plant ERT team.  All plant personnel was accounted for and no injuries was reported.
The fire occurred during clearing for a planned outage on the line.",Level2
3286,"Heavy Lightning and Thunder occurred from 0415 onward and at 0450 we loss the following equipment: Power to Steam generators and compressors, Area 50 HCL pump, Bldg 6 vacuum package, D204B pump, G202 pump, BL502 and some exhaust fans. Bldg 4 remained on, Bldg 16 remained on, Lighting throughout Site remained on. After starting up downed equipment the Control operator noticed that the Base of each pump on his Delta V monitor showed ALL pumps to be OFF when really they were running in the field. So systematically the field operator and Control operator and STL shutdown pumps received the enable and restarted all pumps so the Delta V program matched actual running condition. During this All batches were in safe positions, R101 (vent test), R0126 hex wash.  Plant all back online by 0615.",Level0
3287,"Rental generators were brought in to provide temporary power for ELN outage work required to replace the TR4 and TR5 generators.  The generator supplier was working with the maintenance and project groups to hook everything up and put the generators into service.  The groups verified the voltage and phasing at ATS in the main substation and found single phase 240V.  they then isolated the loads and connected the generator and powered it up to test (voltage, frequency, and phasing).  The generator was found to be tapped at 480V so it was shut down and the contractor re-tapped it to 240V with a switch on the generator.  They powered it back up and found it to be outputting 240 60 Hz as designed.  Applied power to loads and then the generator shut down a few minutes later.  It was reset and tried again and this time the generator tripped again and smoke could be smelled.  At this time the battery charging system to the UPS was found to be smoking and required replacement.  The generator was then removed from service and replaced by the vendor a few hours later.  A new generator was put in service on 4/25/17 with no issues.",Level0
3288,Austin Capital electricians were scheduled to remove and replace the ELX UPS system during the outage.  The Austin Supervisor and Equipment Owner (Maintenance) had discussed the scope of the job and how they wanted to permit the job in detail prior to the work commencing.  The next day the Austin crew assigned to do the work went to the field to sign in and requested a permit from Operations instead of the equipment owner as planned.  The Operator talked through the scope of work and issued a permit with the understanding the scope of work fell into the group EID being used for the rest of the ELX outage work.  The electricians locked out on the group lock box and a permit was issued following the site procedure.  The electricians then verified by testing that all energy had been removed from the UPS and began removal of the old system.  The maintenance equipment owner then came into the sub-station and recognized that the Austin crew was not locked out on the proper lockbox.  The job was stopped immediately and all affected parties got together and corrected the location of the lockout.  The system was completely energy isolated at all times.,Level0
3289,While training on the fire field ERT member felt pain in knee.  Facility EMT responded providing first aid treatment.  Employee was released with no restrictions.,Level1
3290,While trying to load MWS from V1901 it was found that the RV had lifted on K1930B the nib transport compressor due to high back pressure in the transfer line caused by a restriction.,Level0
3291,"Multiple 2-liters of soda-pop were placed in the freezer in the 2nd floor kitchenette. These 2-liters were placed in such a way that when the freezer door was opened, one of the 2-liters fell out, narrowly missing the feet of the employee who opened the door.

The 2-liters have been repositioned to be more stable.",Level0
3292,Austin Capital rigger stepped backwards while working on a scaffold platform.  In the process of doing this he lost his balance and stepped backwards further than expected.  He felt a strain in his hamstring and reported it to his supervisor.,Level0
3294,"While assisting an employee with removing damaged sheet metal from his vehicle, the sheet metal made contact with the left wrist of the employee past the cuff of his glove and caused a small laceration.",Level1
3295,"While liquid nitrogen was being filled into an NMR magnet, the air conditioner to A251 was turned off.  There were immediate increases in ambient temperature and humidity.  The liquid nitrogen valve was immediately turned off and the room was evacuated.  One person stood watch to prevent other people from entering the room, while another person went to inform the maintenance worker.  After about 10 minutes, the ac was turned back on.",Level0
3296,"While assembling a 275 ton crane for the Line 3 outage, a contractor employee was observed working at a height of about 8' without being tied off. This situation is allowed by the OSHA standard for cranes. The hazard associated with a worker in the vicinity of an operating drum is far greater than the fall potential. Per OSHA 1926.1423(f), fall protection is not to be worn when an employee is near the draw works when the equipment is running. That was the case here. The employee was in full compliance with both OSHA as well as his company's standards and procedures. If needed, an exception will be generated for our internal MTO procedure.",Level0
3298,The cable near the line B pelletizer is not safe and can directly cause slip or trip hazard. See attached photos.,Level0
3299,While performing maintenance a Measurement Technician noticed that a ANSI 300 turbine meter was found bolted to 600 ANSI service piping. The OPP could not be exceeded due to maximum pressure capabilities of that pipeline product. Ongoing investigation,Level0
3300,Contract employee received small scratch to their head when they bumped into a open panel door in the MCC.  Contractor was taken to site Medical for evaluation. Employee was treated and released back to full duty.  Contractor was working to feed a HV cable into a cubicle and had removed hard hat while bending over.  Discussions were held at the safety meeting this morning to remind the crews to make sure to put their hard hats back on as soon as they complete a similar task and to watch out for their co-workers and remind them of the same.,Level1
3302,"On April 23rd, 2017, the DLX temporary power was put in service in a safe manner without completing a partial PSSR Form, because the TMOC was not complete.  On April 24th, 2017, the ELX temporary power was put in service in a safe manner without completing a partial PSSR Form, because the TMOC was not complete.  On April 25th, 2017, the Main Substation temporary power was put in service in a safe manner without completing the final PSSR Form, because the TMOC was not complete.  The PSSR for all three temporary generators was completed on April 25th, 2017 at ~1700.  Complex HV Specialist did ensure PSSR checks and switching orders were completed prior to equipment start up.  The MOC owner believed that the generators were not scheduled to be put in service until April 26th, 2017.  Projects believed that the MOC was complete.  The focus needs to be on completing PSSR forms before putting temporary equipment in service to ensure proper documentation.",Level0
3303,"While positioning scissor lift for job task, the railing of the  scissor lift made contact with deluge line, breaking an airline ?T? causing the deluge to trip.",Level0
3305,"While looking for materials in A-1 aisle of warehouse, I found a 1400 box stacked on top of a partial box that had the side cut out of it. Relocated partial box to A-1-1 with other pre-weighed silicone bags and restacked remaining boxes.",Level0
3307,"Around 4a.m., a white four door Chevrolet pickup crossed the railroad tracks dangerously close to a locomotive that was pushing railcars into Air Liquide. The locomotive operator missed the truck by approximately 10 ft.  The locomotive was using the train horn at the time the truck crossed. Safety has been notified of the incident.",Level0
3308,Aramark contractor was observed driving up to NW corner of OP2 control Room without an escort. Contractor exited vehicle and entered into the building. Operations removed keys from vehicle and followed contractor inside where the contractor was informed that  all vehicles entering process units must have an escort with a combustible meter. Contractor was then given proper walk out of the unit.,Level0
3309,Safety/Health: (L1) First Aid - Debris in eye in MeOH converter. ETS employee inside R-7001 flying internals out. Internals brushed the manway dislodged dust which fell on employee. Employee was wearing half-face respirator and goggles. Dust went into his eye. Switched PPE to spoggles.,Level1
3310,"A Brock Scaffold employee was squatting down and had completed installing a 2 X 4 toe board on the T2602 scaffold deck.  As he raised up, the back of his neck made contact with a hot pipe causing a stinging sensation to the area.  There was minimal redness but no blistering.",Level0
3311,"A contractor at POSM 1 was assigned to demo old disconnected DECA insulation containing electric tracing and analyzer tubing.  the contractor, inadvertently cut the new disconnected DECA for D-421 to Analyzer which was out of service. There were no injuries or other equipment damage from this incident.",Level0
3312,"PCV1104 normally holds pressure in tank V105 but could not hold pressure above zero. This is necessary to prevent air intrusion when the level drops as can happen any time. It was found that elastomer inside was Viton, which is not compatible with the contents of the tank (acetone and propylene oxide). The broken back pressure regulator was replaced. New back pressure regulators with Kalrez elastomers have been ordered. It is believed that this problem cannot cause a leak of process fluid. Kalrez elastomers were specified to the equipment manufacturer but were not installed when the unit was built in 2012.",Level0
3313,"As reach truck operator lay pallet of material on floor, some 25kg bags fell to floor.",Level0
3314,Medical transport for personal illness,Level0
3315,"On 25Apr17 track 746 (A) was not properly inspected prior to releasing the track to the Union Pacific, which resulted in a recycle tote getting damaged.",Level0
3316,"Fire alarm received for E1 Sub Station. Upon arrival no sign of fire and no fire bells were operating. Fire alarm panel was showing general fault. Unable to reset system or clear alarm signal from fire station alarm PC. Alarm went off during an electrical thunderstorm, suspect this has damaged the electrics of the alarm panel. Job card entered No 15421739.",Level0
3317,"While transporting a  double stacked 05C talc, the top bag fell.
The bags Were Wrapped, it seams the the talc in the bottom bag shifted causing the top bag to fall.",Level0
3318,"A pallet of LC170, in location A-1-3, was leaning to the point that if the pallet was moved the top bag would have fell over. It looked like the material in the bottom bag shifted causing the top bag to lean over. The top bag was taken down to prevent a tip over from occurring.",Level0
3319,Technician was labeling super sacks and noticed product leaking from the side of one of the bags onto the floor. Additive was granular Irganox PB962. Operations technician taped hole closed in bag. HSE was notified and operations was to clean up spill and dispose of.,Level0
3320,A delivery driver at Gate 1 hit the barricade while leaving the parking lot. Gate 1 Security Officer reported the incident right away to their supervisor and was able to confirm using recorded video. No injuries and no damage.,Level0
3322,"Contractor pulling fiber for the Facility Siting Project stuck a manlift on the west side of the Main Substation. Contractor had been instructed the previous week to not drive the manlift in this area due to uneven surfaces, soft ground and grating in the area. The front left tire of the manlift was found on top of the grating and the back left tire was sunk in the ground where the frame was resting on the rocks below. The manlift weighed 22,750lbs.",Level0
3325,"While an X-ray technician was descending a ladder way on the SE corner, 5th level of M-USC, his right hand came in contact with the lead and it arc flashed against the metal ladder. He was not wearing gloves at the time. He told a JV employee what happen and then left the plant to seek outside evaluation from his company doctor. His hand was cleaned up and classified as a first aid by their company doctor.",Level1
3326,SHARP EDGES AROUND BEACON LIGHT - POTENTIAL TO CAUSE DAMAGE OR INJURY - ENG NOT RAISED - CURRENTLY TAPED OVER,Level0
3327,"HANDRAIL TO TOP FLOOR INSECURE - LOOSE
ENG NOT RAISED FOR REPAIR",Level0
3328,"While digging/excavating to install new power poles for the facility siting project, a Dacon employee noticed an odor coming from the dig site. He stopped digging and notified operations. Operations checked the dig site with a VOC meter and the highest reading was 200ppm. Operations asked them to stop digging and contacted the environmental department. Afterwards, the Dacon employee mentioned that he had a scratchy throat from the odor.",Level0
3329,A Miller Transport tractor was driving down 4th street unescorted.  Driver was stopped and said he was here to pick up a trailer at Solvay and had gotten turned around. Lyondellbasell management will talk with Solvay management about this issue.,Level0
3330,"SGS noticed small liquid leak (dripping) from ethylene tank car, called operations immediately.  Operations found plug on liquid line leaking.  Tightened valve, leak stopped, re-secured plug.  Estimated less than one quart leak.  Valve assembly checked with IR camera after. No leaks detected.",Level1
3331,"Liberty Tower & Flare - While lifting the top section of the flare, a 12in combo wrench weighing 0.75lb fell approximately 80ft, landing 10ft from a Mammoet employee on the crane mat within the exclusion zone.  A few minutes later, a 3ft piece of angle iron weighing 15lbs fell 150ft, landing 30ft from a Mammoet employee on the ground within the exclusion zone.  There were no injuries and an investigation is underway.",Level0
3332,"During the preparation of unloading 25kg bags of Talc from a truck the driver was going through the process of connecting himself to the Fall Arrest Life Line so that he could prepare his vehicle for the unloading activity, after putting on the safety Harness he pulled the Fall Arrestor towards himself so that he could connect it to his Harness and as he did so the Fall Arrest line came away from its connector and fell to the ground.
No one was injured during this near miss.
",Level0
3333,"Repeated failures of bag welds created spilled nibs and broken bags through the whole system every moving part was crunching in spilled nibs. After 5 hours of fault finding the same faulty top bag welder which has been reported was found to be a major contributor.  It?s likely that manipulating  large numbers of bags standing ankle in nibs, carrying bags, dragging bags in poor ergonomic positions could result in an totally preventable incident. With no capital cost we can reduce this unnecessary risk and increase output?  Running this machine slow will not fix this problem.",Level0
3334,"A LYB employee was traveling down Avenue ""B"" on a bicycle when he identified a golf cart traveling the opposite direction. The LYB employee altered his path and rode along the edge of the road, but the passing cart contacted the bicycles handle bars and pushed the individual off the road. The incident occurred inside a 90 degree curve.",Level1
3335,Safety/Health: (L1) First Aid - Finger injury when employee was putting Teflon tape on a hydro tree in the East maintenance shop. The tree slipped and the employee tried to catch the tree. His finger was caught between the tree and the pipe stand causing small skin cut to little finger of his right hand. Antiseptic and Band-Aid applied.,Level1
3336,"Lines B and C simultaneously stopped due to the control screens 'freezing'. A number of hard resets of the Coperion screens on both machines was initiated (inside panels). When it appeared as if the screen on Line C was restored an attempt was made to start line. It did not start. It was then noticed that Line B's motor started to run -( no attempt had been made to start machine from B's panel ) Before any action could be taken Line B stopped running . 
It was then noticed that Line C had Booted up with Line B on its control panel. The Ethernet coms cable between the two lines was disconnected and a hard reset attempted again. Both machines restored correctly and line swere allowed to restart.
Note - During the hard resets the screen on Line B did not always give the option to select correct Machine (ZSK90) but would automatically boot into (ZSK110) Resets were tried until option screen appeared.",Level0
3337,While ascending in a scissor lift to work in the pipe rack employee identified a light fixture would have to be moved or repositioned due to a small/tight space. The employee moved light over with his hand to avoid contact and light fixture broke off and fell 15 feet to grade in a barricaded area.,Level0
3339,"Safety/Health: (L0NM) Near Miss - 7 "" grinder bearing froze throwing 1/4"" cutting wheel off grinder.

Craftsman was squaring a 6"" fuel pipe when the grinder failed (bearings froze) unscrewing the cutting wheel throwing it 5 feel. The spark containment blanket stopped the cutting wheel. Fitter was the only person inside the containment.",Level0
3340,"It has been observed that ,Gauges (All type pressure gauges ,sensor etc.) which are used in our fire hydrant system are not calibrated.It should be calibrated as if any emergency situation occurs it should be in working condition. Pressure of water or fuel  that reflect in gauge should be adequate.
",Level0
3341,"WHILST MOVING A FIBC OF TYC 337P C13077 REFEED MATERIAL THE FIBC SPLIT ON INVESTIGATION ALL OF THE FIBCS OF THIS MATERIAL WERE IN EXCESS OF 1200 KGS 
( DRAINED FROM OUTSIDE SILO ? )
SEE PHOTOS ATTACHED",Level0
3343,While unit operator was making rounds and checking his cut he opened the sample valve on the south classifier. when he opened he noticed movement in valve. Upon further inspection noticed the pipe weld had become separated all the way around except for the bottom 2 inches.,Level0
3344,"Line-A: Extruder drive fault, resulting in 7.5 hours lost time.",Level0
